COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,LEAVE
0,31953,0,6,313378,161,0,4,25,1,3,1
1,36147,0,13,800586,244,0,6,25,1,0,1
1,27273,230,0,305049,201,16,15,25,0,2,1
0,120070,38,33,788235,780,3,2,25,4,0,0
1,29215,208,85,224784,241,21,1,0,1,4,1
0,133728,64,48,632969,626,3,2,25,3,3,1
0,42052,224,0,697949,191,10,5,0,1,1,1
1,84744,0,20,688098,357,0,5,0,1,0,1
0,38171,0,7,274218,190,0,5,100,1,1,1
0,105824,174,18,153560,687,25,4,100,1,4,0
0,20120,43,0,623166,209,5,8,100,1,4,1
1,50939,76,13,587207,336,3,5,50,1,0,1
0,23553,244,0,926178,158,4,5,0,0,1,1
1,143501,63,0,515444,530,3,10,25,3,0,1
1,36940,259,0,979303,236,10,8,100,4,0,1
0,159902,0,20,213299,516,1,4,100,3,1,1
0,45482,82,6,607518,157,5,2,50,4,3,1
0,41513,0,15,214276,167,1,2,0,4,0,1
0,53391,74,69,599957,287,5,2,0,4,3,0
1,52308,0,50,187864,394,27,2,0,1,0,1
0,129795,0,0,281839,684,0,13,0,0,3,0
1,86658,78,15,150852,296,4,5,100,4,4,1
1,96390,251,14,221453,371,26,4,100,0,1,0
0,23322,60,0,281214,302,3,13,25,4,4,0
1,26224,49,75,282685,189,4,1,100,0,2,0
1,47502,0,0,507873,199,1,11,50,4,1,1
1,62951,45,10,403085,304,5,5,25,4,2,1
0,42647,164,0,459225,214,12,14,0,4,1,1
1,39654,72,28,951514,225,5,2,25,0,3,0
0,101335,216,0,414892,420,20,14,100,0,0,0
1,53769,0,26,428647,295,0,1,100,4,0,1
0,43107,55,11,300669,211,5,6,100,4,0,0
0,80136,0,0,210851,266,1,6,100,1,3,0
0,20381,0,23,981435,165,0,6,50,1,0,1
1,150692,184,0,671805,631,0,6,25,1,3,1
0,158937,0,18,560905,547,29,6,100,3,3,1
0,134424,51,0,182350,467,5,13,100,1,0,0
1,153885,0,18,947313,721,1,6,75,1,4,1
0,122010,0,0,265954,711,1,12,0,1,3,1
1,20389,0,0,277834,189,0,4,0,0,1,1
1,117970,173,23,850122,694,26,4,75,1,1,0
0,149610,186,0,203399,445,15,1,0,2,1,0
1,75565,0,0,262921,270,0,14,0,1,0,0
0,60057,159,0,439553,321,28,11,0,1,3,0
1,32061,68,55,247138,209,5,2,0,1,3,1
1,20548,0,13,618233,247,0,4,75,4,3,1
1,30775,0,6,643457,136,1,4,50,1,4,0
1,107959,0,0,617587,616,1,15,75,4,1,1
0,28021,194,40,696708,146,22,1,50,3,1,1
1,27635,0,0,455968,163,10,14,50,0,0,0
1,102647,181,18,242728,754,1,6,0,1,2,1
0,49443,217,8,828084,238,25,4,0,3,0,1
0,79672,198,27,459549,336,26,1,0,1,1,0
0,73689,0,73,435407,142,0,2,100,4,0,0
1,42585,72,83,477745,142,4,1,0,1,1,1
0,134513,41,0,253245,442,4,11,100,1,1,1
0,78108,196,29,390598,370,18,1,25,0,0,0
1,40980,76,18,812104,231,3,11,0,1,0,1
1,54833,69,0,541065,378,4,14,50,0,3,1
0,34722,47,42,420046,171,3,6,100,2,1,0
0,120331,238,27,256742,706,12,1,0,0,1,0
0,140079,203,52,537868,413,17,2,25,1,0,0
1,84371,38,22,763123,292,14,4,100,1,0,1
0,81764,206,23,644395,501,1,6,0,0,1,1
1,55050,71,61,371115,274,3,2,0,4,0,0
1,86891,65,6,907035,382,4,5,50,1,4,1
0,133389,240,71,415379,747,29,1,0,3,3,0
0,77412,218,0,489869,277,19,15,0,0,1,0
0,124035,227,0,262871,501,13,14,100,1,3,0
0,57460,56,63,526910,327,5,2,100,0,0,1
0,23229,0,64,192175,230,1,1,100,2,1,0
0,137059,239,0,194351,588,29,6,0,0,0,1
0,79054,165,12,177411,351,27,4,50,0,1,0
1,123665,217,22,726234,544,28,4,75,1,0,1
0,24861,56,0,179200,603,4,14,25,4,2,0
1,100800,215,0,188219,859,10,12,75,2,4,0
1,24484,55,0,762598,224,5,5,0,4,0,1
0,28916,192,88,723263,245,21,1,75,1,0,1
1,103506,78,22,258527,631,1,4,0,1,3,1
1,33720,0,13,268966,174,0,5,50,0,1,1
1,124947,0,11,902765,422,0,6,0,0,3,1
0,101746,0,7,223810,748,1,6,100,1,1,1
0,34845,0,35,382242,203,1,2,100,4,0,0
1,154686,0,9,933975,736,0,4,100,1,2,1
0,56065,0,86,702828,250,0,1,0,0,0,1
1,87141,0,20,277228,250,1,4,0,2,1,0
0,61104,56,13,183349,857,5,4,0,4,3,0
1,124092,94,65,395269,561,3,2,0,1,0,1
0,101798,0,16,554036,880,1,4,0,3,1,1
1,151731,74,0,885746,536,26,11,25,1,1,0
0,45473,204,15,361403,197,15,5,100,1,3,0
1,39899,0,65,967576,141,1,12,50,1,3,1
0,42459,0,0,783857,192,1,10,0,4,0,1
1,38814,0,48,814203,188,1,2,100,1,0,1
0,45870,214,0,201417,159,19,8,75,1,4,0
0,76717,0,82,883593,381,0,2,25,0,2,0
1,50871,232,32,608297,381,18,1,25,0,1,1
1,113468,0,10,214042,483,0,5,100,4,0,1
1,129023,45,5,675998,752,4,1,100,0,0,0
1,44986,219,0,977398,235,25,11,50,1,0,1
1,79719,202,79,176013,256,21,5,0,3,3,0
1,113504,57,24,809188,192,3,5,0,3,3,1
1,97754,97,45,937656,286,4,1,100,2,4,1
0,40385,65,23,453600,216,3,5,100,1,3,1
0,43915,158,15,151890,197,24,5,0,4,2,0
0,70863,186,9,705316,546,19,5,75,4,3,1
1,27886,63,63,461456,241,1,2,0,1,0,1
0,31556,71,76,324804,195,15,1,25,1,4,0
0,84992,197,8,736073,396,1,4,25,0,3,1
0,63466,67,0,728459,254,4,14,100,1,3,1
0,55347,59,0,922404,331,13,15,100,0,0,1
0,24146,203,8,276961,332,25,6,0,1,1,0
1,24811,0,59,693081,225,0,2,0,1,0,0
1,64779,62,85,247953,393,3,1,75,0,4,0
0,116815,211,87,199709,827,23,2,100,4,3,0
1,33406,55,0,168170,185,4,14,25,1,2,0
1,111935,176,75,932300,555,16,2,0,1,4,0
1,56005,154,23,270679,206,0,12,0,0,1,0
0,126919,0,11,242869,565,1,6,0,1,0,1
0,110061,0,25,902824,817,0,1,100,4,1,0
1,86392,223,0,938183,322,20,11,0,0,1,1
1,45347,56,66,768301,177,4,2,100,0,1,1
0,115403,35,0,617684,719,5,15,0,4,4,0
0,42787,232,17,169276,347,19,6,50,1,0,0
0,91345,206,63,395398,335,28,1,0,2,0,0
0,154596,163,12,825253,810,14,6,0,0,4,0
0,62386,0,63,525716,307,0,2,100,1,3,0
0,135797,59,14,150953,641,5,4,100,1,0,1
0,26918,0,10,261614,179,0,6,75,1,1,1
1,107768,174,0,278811,604,10,12,25,3,3,1
0,64377,148,21,403102,347,10,10,100,4,1,1
0,83020,211,81,310469,165,12,1,0,1,0,0
0,76113,209,0,192765,162,14,8,0,1,1,0
1,139334,38,41,378749,705,4,2,100,0,0,0
1,154628,58,0,531069,454,3,10,100,4,0,1
0,76995,55,23,388798,648,3,4,25,4,1,1
